user_input,machine_command
"I need to start the evaluation exercise","Start evaluation exercise"
"Please assist with moving my arm","Assist with limb movement"
"My arm muscles need strengthening","Strengthen arm muscles"
"Engage me in leg exercise","Engage in leg exercise"
"Increase the resistance level","Increase resistance level"
"Can you decrease the resistance level?","Decrease resistance level"
"Pause the exercise for a moment","Pause exercise"
"Resume the exercise now","Resume exercise"
"Stop the exercise","Stop exercise"
"I want to see the performance analytics","Show performance analytics"
"Provide feedback on the current exercise","Provide feedback on exercise"
"Increase the duration of the exercise","Increase exercise duration"
"Decrease the exercise duration","Decrease exercise duration"
"Make the exercise more intense","Increase exercise intensity"
"Lower the intensity of the exercise","Decrease exercise intensity"
"Switch to the next exercise","Switch to next exercise"
"Repeat this exercise","Repeat current exercise"
"Reset the exercise settings","Reset exercise settings"
"Record the data from this exercise","Record exercise data"
"Review the history of exercises","Review exercise history"
"I’m feeling pain in my arm","Decrease resistance level"
"Can you assist me with limb movement?","Assist with limb movement"
"Strengthen my arm muscles, please","Strengthen arm muscles"
"Engage in a leg exercise","Engage in leg exercise"
"Adjust the resistance level up","Increase resistance level"
"Lower the resistance level","Decrease resistance level"
"Stop for a while","Pause exercise"
"Continue the exercise","Resume exercise"
"End the exercise","Stop exercise"
"Get the analytics of my performance","Show performance analytics"
"Feedback on this workout","Provide feedback on exercise"
"Add more time to the exercise","Increase exercise duration"
"Reduce the time of the exercise","Decrease exercise duration"
"Increase the intensity","Increase exercise intensity"
"Decrease the intensity","Decrease exercise intensity"
"Move to another exercise","Switch to next exercise"
"Do this exercise again","Repeat current exercise"
"Reset everything","Reset exercise settings"
"Save this session's data","Record exercise data"
"Look at my exercise history","Review exercise history"
"Start the evaluation","Start evaluation exercise"
"Assist with my limb","Assist with limb movement"
"Strengthen muscles","Strengthen arm muscles"
"Leg exercise now","Engage in leg exercise"
"Resistance up","Increase resistance level"
"Resistance down","Decrease resistance level"
"Pause now","Pause exercise"
"Resume now","Resume exercise"
"Stop now","Stop exercise"
"Show my analytics","Show performance analytics"
"Feedback on this session","Provide feedback on exercise"
"More duration please","Increase exercise duration"
"Less duration please","Decrease exercise duration"
"Intensity up","Increase exercise intensity"
"Intensity down","Decrease exercise intensity"
"Next exercise","Switch to next exercise"
"Repeat the exercise","Repeat current exercise"
"Reset settings now","Reset exercise settings"
"Save data","Record exercise data"
"Show history","Review exercise history"
"Feeling pain in my leg","Decrease resistance level"
"Need help with movement","Assist with limb movement"
"Boost arm muscles","Strengthen arm muscles"
"Engage leg exercise","Engage in leg exercise"
"Increase resistance now","Increase resistance level"
"Decrease resistance now","Decrease resistance level"
"Pause for a moment","Pause exercise"
"Resume the workout","Resume exercise"
"End current exercise","Stop exercise"
"Show performance data","Show performance analytics"
"Give feedback","Provide feedback on exercise"
"Extend exercise time","Increase exercise duration"
"Shorten exercise time","Decrease exercise duration"
"Raise exercise intensity","Increase exercise intensity"
"Lower exercise intensity","Decrease exercise intensity"
"Next workout","Switch to next exercise"
"Repeat this workout","Repeat current exercise"
"Reset all settings","Reset exercise settings"
"Log exercise data","Record exercise data"
"Check exercise history","Review exercise history"
"Start evaluation","Start evaluation exercise"
"Assist with limb movement","Assist with limb movement"
"Strengthen my arm","Strengthen arm muscles"
"Engage in a leg workout","Engage in leg exercise"
"Increase the resistance","Increase resistance level"
"Lower the resistance","Decrease resistance level"
"Pause the exercise","Pause exercise"
"Resume the session","Resume exercise"
"Stop the current workout","Stop exercise"
"Show performance results","Show performance analytics"
"Provide feedback on this workout","Provide feedback on exercise"
"Increase the exercise duration","Increase exercise duration"
"Decrease the exercise duration","Decrease exercise duration"
"Increase the intensity of the exercise","Increase exercise intensity"
"Decrease the intensity of the exercise","Decrease exercise intensity"
"Switch to a different exercise","Switch to next exercise"
"Do this exercise again","Repeat current exercise"
"Reset all exercise settings","Reset exercise settings"
"Record the data for this exercise","Record exercise data"
"Review past exercises","Review exercise history"
"Feeling pain in my arm","Decrease resistance level"
"Assist with arm movement","Assist with limb movement"
"Strengthen my arm","Strengthen arm muscles"
"Engage me in leg exercises","Engage in leg exercise"
"Increase resistance","Increase resistance level"
"Decrease resistance","Decrease resistance level"
"Pause the current exercise","Pause exercise"
"Resume my workout","Resume exercise"
"Stop my exercise","Stop exercise"
"Show performance metrics","Show performance analytics"
"Feedback on the exercise","Provide feedback on exercise"
"Add time to exercise","Increase exercise duration"
"Reduce time for exercise","Decrease exercise duration"
"Increase the intensity","Increase exercise intensity"
"Lower the intensity","Decrease exercise intensity"
"Move on to next exercise","Switch to next exercise"
"Repeat the current exercise","Repeat current exercise"
"Reset the settings","Reset exercise settings"
"Log this exercise","Record exercise data"
"Review exercise logs","Review exercise history"
"Start the session","Start evaluation exercise"
"Help with limb movement","Assist with limb movement"
"Strengthen muscles in my arm","Strengthen arm muscles"
"Engage in leg exercise now","Engage in leg exercise"
"Boost resistance level","Increase resistance level"
"Lower resistance","Decrease resistance level"
"Pause the workout","Pause exercise"
"Resume workout now","Resume exercise"
"Stop the current session","Stop exercise"
"Display performance analytics","Show performance analytics"
"Provide feedback for this exercise","Provide feedback on exercise"
"Extend the exercise duration","Increase exercise duration"
"Shorten the duration of exercise","Decrease exercise duration"
"Increase intensity of exercise","Increase exercise intensity"
"Decrease intensity of exercise","Decrease exercise intensity"
"Switch exercises","Switch to next exercise"
"Repeat this workout","Repeat current exercise"
"Reset all exercise configurations","Reset exercise settings"
"Save the exercise information","Record exercise data"
"Check previous exercises","Review exercise history"
"Arm pain detected","Decrease resistance level"
"Need limb assistance","Assist with limb movement"
"Boost arm strength","Strengthen arm muscles"
"Engage in a leg routine","Engage in leg exercise"
"Resistance level up","Increase resistance level"
"Resistance level down","Decrease resistance level"
"Pause for a short time","Pause exercise"
"Resume after pause","Resume exercise"
"Stop exercise immediately","Stop exercise"
"Show the analytics","Show performance analytics"
"Give me feedback","Provide feedback on exercise"
"Increase exercise time","Increase exercise duration"
"Decrease exercise time","Decrease exercise duration"
"Make exercise more intense","Increase exercise intensity"
"Reduce exercise intensity","Decrease exercise intensity"
"Proceed to next exercise","Switch to next exercise"
"Do this one again","Repeat current exercise"
"Reset all settings now","Reset exercise settings"
"Log this workout data","Record exercise data"
"Review past workout history","Review exercise history"
"Start the exercise routine","Start evaluation exercise"
"Help me move my arm","Assist with limb movement"
"Can you work on my arm muscles?","Strengthen arm muscles"
"I need a leg exercise session","Engage in leg exercise"
"Turn up the resistance","Increase resistance level"
"Reduce the resistance setting","Decrease resistance level"
"Pause this exercise session","Pause exercise"
"Can we continue the exercise now?","Resume exercise"
"End this exercise","Stop exercise"
"I need to review performance metrics","Show performance analytics"
"Give me feedback on this exercise","Provide feedback on exercise"
"Make this exercise last longer","Increase exercise duration"
"Shorten the exercise duration","Decrease exercise duration"
"Raise the intensity of this exercise","Increase exercise intensity"
"Lower the intensity of the current exercise","Decrease exercise intensity"
"Switch to a different workout","Switch to next exercise"
"Repeat the current workout","Repeat current exercise"
"Reset all exercise parameters","Reset exercise settings"
"Save this session's data","Record exercise data"
"Show me the history of exercises","Review exercise history"
"My arm is sore","Decrease resistance level"
"I need some help with my arm","Assist with limb movement"
"Strengthen my arms now","Strengthen arm muscles"
"Engage me in a leg workout","Engage in leg exercise"
"Increase the level of resistance","Increase resistance level"
"Lower the current resistance","Decrease resistance level"
"Pause the workout session","Pause exercise"
"Resume the current session","Resume exercise"
"Stop the current routine","Stop exercise"
"Display the performance analysis","Show performance analytics"
"Give me exercise feedback","Provide feedback on exercise"
"Lengthen the exercise time","Increase exercise duration"
"Cut down the exercise time","Decrease exercise duration"
"Intensify the exercise","Increase exercise intensity"
"Reduce the exercise intensity","Decrease exercise intensity"
"Move to the next activity","Switch to next exercise"
"Repeat this workout session","Repeat current exercise"
"Reset the exercise configuration","Reset exercise settings"
"Log this exercise data","Record exercise data"
"View my exercise history","Review exercise history"
"I feel discomfort in my arm","Decrease resistance level"
"Assist me with my arm movement","Assist with limb movement"
"Strengthen my arm muscles, please","Strengthen arm muscles"
"I want a leg exercise now","Engage in leg exercise"
"Increase the resistance level","Increase resistance level"
"Decrease the resistance setting","Decrease resistance level"
"Pause the current workout","Pause exercise"
"Resume the exercise session","Resume exercise"
"End the exercise","Stop exercise"
"Show me the performance results","Show performance analytics"
"Feedback on this workout session","Provide feedback on exercise"
"Extend the duration of the exercise","Increase exercise duration"
"Shorten the exercise time","Decrease exercise duration"
"Make the exercise more intense","Increase exercise intensity"
"Lower the exercise intensity","Decrease exercise intensity"
"Switch exercises","Switch to next exercise"
"Do this exercise again","Repeat current exercise"
"Reset the exercise settings","Reset exercise settings"
"Record the data for this workout","Record exercise data"
"Review the history of exercises","Review exercise history"
"My arm is hurting","Decrease resistance level"
"Help me with limb movement","Assist with limb movement"
"Boost my arm strength","Strengthen arm muscles"
"Start leg exercises","Engage in leg exercise"
"Raise the resistance","Increase resistance level"
"Lower the resistance","Decrease resistance level"
"Pause this session","Pause exercise"
"Resume my current exercise","Resume exercise"
"Stop the ongoing exercise","Stop exercise"
"Show me my performance","Show performance analytics"
"Provide feedback for the exercise","Provide feedback on exercise"
"Increase the time for exercise","Increase exercise duration"
"Decrease the time for exercise","Decrease exercise duration"
"Increase the exercise's intensity","Increase exercise intensity"
"Decrease the intensity of the exercise","Decrease exercise intensity"
"Move to another exercise","Switch to next exercise"
"Repeat this workout","Repeat current exercise"
"Reset the current settings","Reset exercise settings"
"Log the workout data","Record exercise data"
"Check the exercise history","Review exercise history"
"Commence the evaluation session","Start evaluation exercise"
"Assist with my limb movements","Assist with limb movement"
"Strengthen my arms","Strengthen arm muscles"
"Engage in a leg workout session","Engage in leg exercise"
"Boost the resistance level","Increase resistance level"
"Reduce the current resistance","Decrease resistance level"
"Pause the ongoing exercise","Pause exercise"
"Resume the workout","Resume exercise"
"End this exercise session","Stop exercise"
"Show me analytics for my performance","Show performance analytics"
"Feedback on my exercise","Provide feedback on exercise"
"Add more time to this exercise","Increase exercise duration"
"Reduce the time of this exercise","Decrease exercise duration"
"Increase the intensity of this exercise","Increase exercise intensity"
"Decrease the intensity of this exercise","Decrease exercise intensity"
"Move on to the next exercise","Switch to next exercise"
"Do this exercise again","Repeat current exercise"
"Reset all settings for the exercise","Reset exercise settings"
"Record the data from this session","Record exercise data"
"Review the exercise log","Review exercise history"
"My arm hurts","Decrease resistance level"
"I need help with limb exercises","Assist with limb movement"
"Strengthen my arm now","Strengthen arm muscles"
"Engage me in a leg exercise","Engage in leg exercise"
"Increase resistance settings","Increase resistance level"
"Decrease the resistance settings","Decrease resistance level"
"Pause the exercise routine","Pause exercise"
"Resume the workout session","Resume exercise"
"Stop the current session","Stop exercise"
"Show the performance data","Show performance analytics"
"Feedback on this exercise session","Provide feedback on exercise"
"Increase exercise time","Increase exercise duration"
"Shorten the duration of exercise","Decrease exercise duration"
"Increase exercise intensity now","Increase exercise intensity"
"Decrease exercise intensity now","Decrease exercise intensity"
"Switch to another exercise","Switch to next exercise"
"Repeat this exercise routine","Repeat current exercise"
"Reset the current exercise settings","Reset exercise settings"
"Log this workout session","Record exercise data"
"Review the history of this exercise","Review exercise history"
"I feel pain in my limb","Decrease resistance level"
"Help with my limb","Assist with limb movement"
"Strengthen my arm muscles","Strengthen arm muscles"
"Engage in leg exercises","Engage in leg exercise"
"Raise the resistance","Increase resistance level"
"Lower the resistance","Decrease resistance level"
"Pause the current routine","Pause exercise"
"Resume my exercise","Resume exercise"
"Stop the current workout","Stop exercise"
"Show performance details","Show performance analytics"
"Provide feedback on this exercise","Provide feedback on exercise"
"Add time to the exercise","Increase exercise duration"
"Cut down on exercise time","Decrease exercise duration"
"Increase intensity of the exercise","Increase exercise intensity"
"Decrease intensity of the exercise","Decrease exercise intensity"
"Switch to the next exercise","Switch to next exercise"
"Repeat this current exercise","Repeat current exercise"
"Reset the settings for this exercise","Reset exercise settings"
"Record data from this exercise","Record exercise data"
"Review the exercise history","Review exercise history"
"Commence the exercise","Start evaluation exercise"
"Assist with limb movement now","Assist with limb movement"
"Strengthen my arm now","Strengthen arm muscles"
"Engage in a leg exercise","Engage in leg exercise"
"Increase the resistance level now","Increase resistance level"
"Lower the resistance level","Decrease resistance level"
"Pause the workout now","Pause exercise"
"Resume exercise","Resume exercise"
"Stop this exercise now","Stop exercise"
"Show me performance analytics","Show performance analytics"
"Provide feedback for this session","Provide feedback on exercise"
"Extend exercise duration","Increase exercise duration"
"Reduce exercise duration","Decrease exercise duration"
"Intensify the current exercise","Increase exercise intensity"
"Decrease intensity for this exercise","Decrease exercise intensity"
"Switch to another exercise","Switch to next exercise"
"Repeat this exercise session","Repeat current exercise"
"Reset all exercise configurations","Reset exercise settings"
"Save exercise data","Record exercise data"
"Check the exercise history","Review exercise history"
"Start evaluation now","Start evaluation exercise"
"Assist with my arm movement","Assist with limb movement"
"Strengthen my arm muscles now","Strengthen arm muscles"
"Engage me in a leg routine","Engage in leg exercise"
"Increase resistance now","Increase resistance level"
"Lower the resistance","Decrease resistance level"
"Pause for a short period","Pause exercise"
"Resume the current routine","Resume exercise"
"Stop this routine","Stop exercise"
"Show performance results now","Show performance analytics"
"Provide feedback on the session","Provide feedback on exercise"
"Increase time for exercise","Increase exercise duration"
"Shorten the exercise duration","Decrease exercise duration"
"Increase the exercise intensity","Increase exercise intensity"
"Lower the intensity now","Decrease exercise intensity"
"Switch to next activity","Switch to next exercise"
"Do this routine again","Repeat current exercise"
"Reset the current settings","Reset exercise settings"
"Record this workout","Record exercise data"
"Review past exercises","Review exercise history"
"Let's begin the exercise evaluation","Start evaluation exercise"
"Please assist me with arm movement","Assist with limb movement"
"My arms need strengthening","Strengthen arm muscles"
"Start a leg exercise routine","Engage in leg exercise"
"Increase the resistance setting","Increase resistance level"
"Turn down the resistance","Decrease resistance level"
"Pause the current exercise","Pause exercise"
"Resume the previous workout","Resume exercise"
"Terminate this exercise","Stop exercise"
"Show me the performance report","Show performance analytics"
"Can I get feedback on this session?","Provide feedback on exercise"
"Lengthen the duration of this exercise","Increase exercise duration"
"Shorten the duration of this workout","Decrease exercise duration"
"Make the workout more intense","Increase exercise intensity"
"Reduce the intensity of the exercise","Decrease exercise intensity"
"Proceed to the next workout","Switch to next exercise"
"Repeat this session","Repeat current exercise"
"Reset all current exercise settings","Reset exercise settings"
"Log the data from this workout","Record exercise data"
"Show me the history of my exercises","Review exercise history"
"My arm feels sore","Decrease resistance level"
"Need help with arm exercise","Assist with limb movement"
"Boost the strength of my arm","Strengthen arm muscles"
"Initiate a leg exercise","Engage in leg exercise"
"Raise the resistance level","Increase resistance level"
"Lower the resistance","Decrease resistance level"
"Pause the current workout session","Pause exercise"
"Resume the current workout","Resume exercise"
"Stop the ongoing exercise","Stop exercise"
"Display performance statistics","Show performance analytics"
"Give feedback on this exercise session","Provide feedback on exercise"
"Add extra time to the exercise","Increase exercise duration"
"Cut the exercise duration","Decrease exercise duration"
"Increase the intensity of this workout","Increase exercise intensity"
"Decrease the intensity level","Decrease exercise intensity"
"Move on to the following exercise","Switch to next exercise"
"Do this exercise again","Repeat current exercise"
"Reset the settings for this exercise","Reset exercise settings"
"Record the current session data","Record exercise data"
"Review the past workout sessions","Review exercise history"
"My limb is hurting","Decrease resistance level"
"I need assistance with arm movement","Assist with limb movement"
"Strengthen my arms immediately","Strengthen arm muscles"
"Engage in leg exercise right now","Engage in leg exercise"
"Increase the resistance for this exercise","Increase resistance level"
"Decrease the resistance for this workout","Decrease resistance level"
"Pause this workout","Pause exercise"
"Resume the exercise routine","Resume exercise"
"End the current exercise","Stop exercise"
"Show me my performance results","Show performance analytics"
"Provide me with feedback on this workout","Provide feedback on exercise"
"Extend the exercise period","Increase exercise duration"
"Decrease the time for this exercise","Decrease exercise duration"
"Increase the exercise's intensity","Increase exercise intensity"
"Lower the intensity for this workout","Decrease exercise intensity"
"Switch to a new exercise","Switch to next exercise"
"Repeat the previous exercise","Repeat current exercise"
"Reset all the settings","Reset exercise settings"
"Log data from this session","Record exercise data"
"Check the history of exercises","Review exercise history"
"My arm is experiencing pain","Decrease resistance level"
"Help me with my arm movements","Assist with limb movement"
"Strengthen my arm muscles now","Strengthen arm muscles"
"Engage in a leg exercise immediately","Engage in leg exercise"
"Increase the current resistance level","Increase resistance level"
"Decrease the current resistance","Decrease resistance level"
"Pause this exercise routine","Pause exercise"
"Resume the ongoing workout","Resume exercise"
"Stop this exercise immediately","Stop exercise"
"Show performance metrics for this session","Show performance analytics"
"Provide feedback on the current exercise","Provide feedback on exercise"
"Add more time to the exercise","Increase exercise duration"
"Reduce the exercise time","Decrease exercise duration"
"Increase the intensity of the exercise","Increase exercise intensity"
"Decrease the intensity of the exercise","Decrease exercise intensity"
"Switch to a different exercise","Switch to next exercise"
"Repeat this workout session","Repeat current exercise"
"Reset the exercise settings now","Reset exercise settings"
"Record data for this workout","Record exercise data"
"Review the exercise history","Review exercise history"
"My arm is sore from the workout","Decrease resistance level"
"Assist with my limb exercises","Assist with limb movement"
"Strengthen my arm now, please","Strengthen arm muscles"
"Engage in a leg workout session now","Engage in leg exercise"
"Increase the resistance level immediately","Increase resistance level"
"Lower the resistance setting right now","Decrease resistance level"
"Pause the ongoing workout session","Pause exercise"
"Resume the previous exercise","Resume exercise"
"Stop the current exercise immediately","Stop exercise"
"Show me the analytics of my performance","Show performance analytics"
"Give me feedback on the current session","Provide feedback on exercise"
"Extend the duration of the current workout","Increase exercise duration"
